Date,ETH-USD,SOL-USD
2024-05-01,2969.78466796875,134.6279754638672
2024-05-02,2988.16845703125,137.81448364257812
2024-05-03,3103.5419921875,143.77255249023438
2024-05-04,3117.576416015625,146.1350555419922
2024-05-05,3137.2490234375,145.71302795410156
2024-05-06,3062.728759765625,152.80239868164062
2024-05-07,3006.5771484375,148.1343231201172
2024-05-08,2973.6572265625,142.29473876953125
2024-05-09,3036.0205078125,152.84994506835938
2024-05-10,2909.791259765625,146.21690368652344
2024-05-11,2911.60205078125,145.3143768310547
2024-05-12,2928.701904296875,143.52081298828125
2024-05-13,2949.359619140625,147.28233337402344
2024-05-14,2881.157958984375,142.0303955078125
2024-05-15,3037.056640625,158.18682861328125
2024-05-16,2945.131103515625,159.116455078125
2024-05-17,3094.11865234375,169.53054809570312
2024-05-18,3122.948974609375,172.5391387939453
